DMID  PAIR_NAME  RA_+_DEC        z         zerr           NII6583        unc       Halpha         unc         Hbeta          unc       OIII5007        unc          Z
I089  dm1357+54  135725.17+541208.2  0.0255124  0.0000048      128.639        2.672      800.382        7.324      248.108        4.469      470.377        6.334        8.589
I090  dm1357+54  135716.59+541235.6  0.0256284  0.0000055       31.024        1.536      328.404        4.152      123.160        3.229      293.666        4.724        8.334
I091  dm1620+25  162026.82+255348.8  0.0641238  0.0000071      274.087        3.311     1333.393       10.221      358.401        4.616      518.199        5.837        8.719
I092  dm1620+25  162026.01+255420.7  0.0642673  0.0000061       57.505        1.508      354.779        3.616      105.212        2.183      217.432        3.230        8.607
I093  dm1048+32  104806.20+324055.3  0.0445615  0.0000056       56.098        2.000      635.990        6.171      207.783        3.744      571.402        7.182        8.374
I094  dm1048+32  104804.32+324138.5  0.0443568  0.0000110       15.268        1.561       78.828        2.120       25.992        2.173       23.324        2.389        8.493
I095  dm1106+01  110630.86+014140.6  0.0306993  0.0000072       87.245        2.230      344.610        4.377       94.357        2.910       78.949        2.856        8.800
I096  dm1106+01  110629.59+014033.1  0.0311747  0.0000049       95.928        2.487     1095.523       11.174      348.359        5.605      912.181        9.781        8.362
I097  dm0027+00  002726.50+000857.1  0.0306675  0.0000106        8.582        1.005       55.629        1.570       17.055        1.785       21.451        1.849        8.444
I098  dm0027+00  002721.87+000837.4  0.0311196  0.0000078      300.346        4.136      912.832        8.955      239.891        4.549      164.371        4.179        8.932
I099  dm1246+32  124625.44+321054.7  0.0229385  0.0000046       49.277        1.847      712.622        6.885      242.217        3.993      768.759        8.518        8.228
I100  dm1246+32  124618.03+321115.2  0.0228414  0.0000062       23.665        1.246      201.694        2.666       68.509        2.013      148.255        2.914        8.404
I101  dm1440+14  144033.79+142832.1  0.0180854  0.0000060        8.775        1.054      120.374        2.112       46.882        1.983      126.001        2.885        8.295
I102  dm1440+14  144026.37+142735.0  0.0181114  0.0000083       33.330        1.479      191.638        2.675       56.401        2.180       72.623        2.448        8.617
I103  dm1049+09  105001.37+090418.5  0.0335683  0.0000053      119.594        2.214      827.565        7.777      249.262        3.979      497.545        6.055        8.607
I104  dm1049+09  104957.00+090359.5  0.0334812  0.0000078      240.786        3.313      986.290        9.332      294.589        4.592      360.312        5.351        8.782
I105  dm1235+57  123523.82+572516.8  0.0376129  0.0000117       12.343        3.388       61.155        1.853       21.326        1.964       23.410        2.132      -99.900
I106  dm1235+57  123516.26+572526.3  0.0376431  0.0000045       87.676        2.434      548.420        5.542      158.358        3.551      288.020        4.958        8.599
I107  dm0759+15  075941.16+154342.5  0.0364100  0.0000060       21.025        1.536      224.330        3.321       77.213        3.098      163.615        4.074        8.290
I108  dm0759+15  075937.01+154405.1  0.0363309  0.0000073       59.099        1.961      355.522        4.590      111.064        3.266      161.049        3.906        8.628
I109  dm0346+00  034611.68+002350.6  0.0303486  0.0000120       71.775        2.230      210.777        3.440       61.544        2.879       24.539        2.676        8.916
I110  dm0346+00  034606.86+002324.9  0.0308886  0.0000076       37.684        1.692      250.467        3.574       82.804        2.914      137.207        3.724        8.514
I111  dm1447+17  144751.43+172337.1  0.0209884  0.0000059       53.795        1.740      610.155        6.521      203.033        3.596      467.678        6.158        8.281
I112  dm1447+17  144758.95+172411.2  0.0206324  0.0000064       58.421        1.713      318.564        3.774       89.468        2.621       99.078        3.088        8.563
I113  dm0833+22  083351.32+221021.3  0.0246953  0.0000067       40.443        1.835      361.018        4.379       99.781        3.012      246.057        4.545        8.460
I114  dm0833+22  083344.64+220955.4  0.0249560  0.0000098       64.854        2.043      235.644        3.406       65.125        2.559       28.607        2.284        8.817
I115  dm0052+00  005257.79+002207.5  0.0341113  0.0000064      584.761        6.587     3803.043       27.529     1062.583       11.811     3051.820       24.363        8.748
I116  dm0052+00  005257.20+002317.4  0.0346260  0.0000099       61.256        1.041      189.821        1.486       55.823        1.273       22.197        1.142        8.887
I117  dm0815+42  081601.38+421324.4  0.0435744  0.0000094       30.238        1.641      139.461        2.051       43.037        2.067       30.396        1.809        8.689
I118  dm0815+42  081556.42+421341.4  0.0437195  0.0000067       75.331        1.950      395.421        3.792      119.401        2.658      144.107        2.924        8.711
I119  dm1314+35  131432.94+352305.3  0.0078798  0.0000068       67.808        1.464     1477.690       16.726      421.694        7.166     2042.821       26.440        8.230
I120  dm1314+35  131410.28+352515.9  0.0078085  0.0000089       -0.973        1.141       65.171        1.981       20.200        2.166       73.895        3.044      -99.900
